运动户外>健身训练>美腰机/挺腰器,1318>1463>s8151,运动/瑜伽/健身/球迷用品>踏步机/中小型健身器材>美腰机/挺腰器,50010728>50038418>50038433
运动户外>户外装备>户外工具,1318>1462>1479,户外运动用品>刀具工具>刀鞘刀套,2203>50031744>50046903
运动户外>户外装备>户外工具,1318>1462>1479,户外运动用品>刀具工具>瑞士军刀,2203>50031744>50046902
运动户外>户外装备>户外工具,1318>1462>1479,户外运动用品>刀具工具>工兵斧,2203>50031744>50040990
运动户外>户外装备>户外工具,1318>1462>1479,户外运动用品>刀具工具>军刀卡,2203>50031744>50040472
运动户外>户外装备>户外工具,1318>1462>1479,户外运动用品>刀具工具>工兵铲,2203>50031744>50032609
运动户外>户外装备>户外工具,1318>1462>1479,户外运动用品>船只舰艇>龙舟,2203>50032666>50032708
运动户外>户外装备>户外工具,1318>1462>1479,户外运动用品>路亚>路亚鱼竿,2203>50438024>50432031
运动户外>户外装备>户外工具,1318>1462>1479,户外运动用品>鱼竿>台钓,2203>50450022>50434026
运动户外>户外装备>户外工具,1318>1462>1479,户外运动用品>鱼竿>溪流,2203>50450022>50450023
运动户外>户外装备>户外工具,1318>1462>1479,户外运动用品>船只舰艇>皮划艇,2203>50032666>50032705
运动户外>户外装备>户外工具,1318>1462>1479,户外运动用品>鱼竿>路亚,2203>50450022>50442028
运动户外>户外装备>户外工具,1318>1462>1479,户外运动用品>船只舰艇>摩托艇,2203>50032666>50032709
运动户外>户外装备>户外工具,1318>1462>1479,户外运动用品>船只舰艇>帆船,2203>50032666>50032707
运动户外>户外装备>户外工具,1318>1462>1479,户外运动用品>鱼竿>矶钓,2203>50450022>50440025
运动户外>户外装备>户外工具,1318>1462>1479,户外运动用品>鱼竿>海钓,2203>50450022>50448027
运动户外>户外装备>户外工具,1318>1462>1479,户外运动用品>路亚>路亚轮,2203>50438024>50436028
运动户外>户外装备>户外工具,1318>1462>1479,户外运动用品>船只舰艇>独木舟,2203>50032666>50032706
家用电器>生活电器>生活电器配件,737>738>12396,生活电器>其它生活家电>节电器,50902003>50918013>50932027
家用电器>生活电器>生活电器配件,737>738>12396,生活电器>生活家电配件>其他生活家电配件,50902003>50920015>50922026
家用电器>生活电器>生活电器配件,737>738>12396,生活电器>生活家电配件>对讲机配件,50902003>50920015>50926015
家用电器>生活电器>生活电器配件,737>738>12396,生活电器>生活家电配件>缝纫机配件,50902003>50920015>50936020
家用电器>生活电器>生活电器配件,737>738>12396,生活电器>生活家电配件>风扇/换气扇配件,50902003>50920015>50920021
家用电器>生活电器>生活电器配件,737>738>12396,生活电器>生活家电配件>吸尘器/扫地机配件,50902003>50920015>50920020
家用电器>生活电器>生活电器配件,737>738>12396,生活电器>生活家电配件>净化/加湿抽湿机配件,50902003>50920015>50936021
家用电器>生活电器>生活电器配件,737>738>12396,生活电器>生活家电配件>清洁/挂烫机/电熨斗配件,50902003>50920015>50922027
家用电器>生活电器>生活电器配件,737>738>12396,导航平台>家电配件>生活电器配件,50041194>50051952>50051955
家用电器>生活电器>生活电器配件,737>738>12396,电子/电工>继电器>时间继电器,50066173>50066203>50066206
家用电器>生活电器>生活电器配件,737>738>12396,3C数码配件市场>家电周边配件>RF头,50008090>50018358>50043400
家用电器>生活电器>生活电器配件,737>738>12396,3C数码配件市场>苹果专用配件>苹果零部件,50008090>50042217>50042236
家用电器>生活电器>生活电器配件,737>738>12396,3C数码配件市场>家电周边配件>KVM切换器,50008090>50018358>50043395
家用电器>生活电器>生活电器配件,737>738>12396,3C数码配件市场>家电周边配件>网络切换器,50008090>50018358>50043409
家用电器>生活电器>生活电器配件,737>738>12396,3C数码配件市场>家电周边配件>RCA头,50008090>50018358>50043399
家用电器>生活电器>生活电器配件,737>738>12396,3C数码配件市场>家电周边配件>BNC头,50008090>50018358>50043397
家用电器>生活电器>生活电器配件,737>738>12396,3C数码配件市场>家电周边配件>VGA切换器,50008090>50018358>50043396
家用电器>生活电器>生活电器配件,737>738>12396,3C数码配件市场>家电周边配件>节电器/省电器,50008090>50018358>50043406
家用电器>生活电器>生活电器配件,737>738>12396,3C数码配件市场>家电周边配件>隔离器/耦合器,50008090>50018358>50043405
家用电器>生活电器>生活电器配件,737>738>12396,3C数码配件市场>家电周边配件>分配器/分频器/分支器,50008090>50018358>50043404
家用电器>生活电器>生活电器配件,737>738>12396,3C数码配件市场>家电周边配件>射频器/转换器,50008090>50018358>50043407
家用电器>生活电器>生活电器配件,737>738>12396,3C数码配件市场>家电周边配件>分压盒,50008090>50018358>50043403
家用电器>生活电器>生活电器配件,737>738>12396,3C数码配件市场>家电周边配件>插头,50008090>50018358>50043401
家用电器>生活电器>生活电器配件,737>738>12396,3C数码配件市场>家电周边配件>F头,50008090>50018358>50043398
家用电器>生活电器>生活电器配件,737>738>12396,3C数码配件市场>家电周边配件>数字电视机顶盒,50008090>50018358>50018359
家用电器>生活电器>生活电器配件,737>738>12396,3C数码配件市场>家电周边配件>遥控器,50008090>50018358>50043411
家用电器>生活电器>生活电器配件,737>738>12396,3C数码配件市场>家电周边配件>AV切换器,50008090>50018358>50043394
家用电器>生活电器>生活电器配件,737>738>12396,3C数码配件市场>家电周边配件>3D立体眼镜,50008090>50018358>50043652
家用电器>生活电器>生活电器配件,737>738>12396,3C数码配件市场>家电周边配件>微波炉面板,50008090>50018358>50043410
家用电器>生活电器>生活电器配件,737>738>12396,3C数码配件市场>家电周边配件>数字机顶盒共享器,50008090>50018358>50018360
家用电器>生活电器>生活电器配件,737>738>12396,3C数码配件市场>家电周边配件>视频线/音频线/AV线,50008090>50018358>50043408
家用电器>生活电器>生活电器配件,737>738>12396,3C数码配件市场>家电周边配件>电视高压包,50008090>50018358>50043402
家用电器>生活电器>生活电器配件,737>738>12396,电子/电工>节电器>节能控制器,50066173>50066195>50066197
家用电器>生活电器>生活电器配件,737>738>12396,电子/电工>节电器>定时器,50066173>50066195>50066196
家用电器>生活电器>生活电器配件,737>738>12396,影音电器>麦克风/话筒配件>支架,50018908>50036710>50036712
家用电器>生活电器>生活电器配件,737>738>12396,影音电器>Hifi音响配件>端子/插头/插座,50018908>50028664>50028722
家用电器>生活电器>生活电器配件,737>738>12396,影音电器>麦克风/话筒配件>底座,50018908>50036710>50036711
家用电器>生活电器>生活电器配件,737>738>12396,影音电器>麦克风/话筒配件>咪罩,50018908>50036710>50036713
家用电器>生活电器>生活电器配件,737>738>12396,影音电器>Hifi音响配件>音响脚架/机架,50018908>50028664>50028674
家居家纺>家纺>沙发垫套/椅垫,1620>1621>11161,居家布艺/窗帘地毯/缝纫DIY>坐垫>沙发垫,50065205>50096189>50074536
家居家纺>家纺>沙发垫套/椅垫,1620>1621>11161,导航平台>床品/靠垫/毛巾/拖鞋/布艺>沙发垫/沙发套/沙发巾,50041194>50045025>50045216
家具>书房家具>电脑桌,9847>9851>11973,住宅家具/办公家具>书房>电脑桌,50030787>50096406>50096411
家具>书房家具>电脑桌,9847>9851>11973,住宅家具/办公家具>桌类>电脑桌,50030787>50030801>52774007
家具>书房家具>电脑桌,9847>9851>11973,住宅家具/办公家具>桌类>折叠桌,50030787>50030801>50030862
服饰内衣>女装>T恤,1315>1343>1355,天猫国际>女装>T恤,52792006>55898015>55830014
服饰内衣>女装>T恤,1315>1343>1355,品牌女装>T恤>条纹T恤,50025135>50029627>52114001
服饰内衣>女装>T恤,1315>1343>1355,品牌女装>T恤>长款T恤,50025135>50029627>54250004
服饰内衣>女装>T恤,1315>1343>1355,品牌女装>T恤>潮流T恤,50025135>50029627>55850011
服饰内衣>女装>T恤,1315>1343>1355,品牌女装>T恤>印花T恤,50025135>50029627>54242007
服饰内衣>女装>T恤,1315>1343>1355,品牌女装>T恤>棉麻T恤,50025135>50029627>54250005
服饰内衣>女装>T恤,1315>1343>1355,品牌女装>T恤>圆领T恤,50025135>50029627>54206003
服饰内衣>女装>T恤,1315>1343>1355,品牌女装>T恤>高领T恤,50025135>50029627>55358001
服饰内衣>女装>T恤,1315>1343>1355,品牌女装>T恤>V领T恤,50025135>50029627>54190005
服饰内衣>女装>T恤,1315>1343>1355,品牌女装>T恤>2016新品,50025135>50029627>52118001
服饰内衣>女装>T恤,1315>1343>1355,品牌女装>2016当季新品>T恤,50025135>51260020>51254017
服饰内衣>女装>T恤,1315>1343>1355,品牌女装>T恤>商场同款,50025135>50029627>53616003
服饰内衣>女装>T恤,1315>1343>1355,导航平台>女士服饰>T恤,50041194>52502003>52544002
服饰内衣>女装>T恤,1315>1343>1355,导航平台>中老年女士服饰>T恤,50041194>52062001>52538011
服饰内衣>女装>T恤,1315>1343>1355,孕妇装/孕妈用品专区>孕妇装>T恤,50029253>50102869>50270002
服饰内衣>女装>T恤,1315>1343>1355,品牌女装>设计师原创品牌>原创T恤,50025135>53330001>53336002
服饰内衣>女装>T恤,1315>1343>1355,品牌女装>商场同款>专柜T恤,50025135>53596001>53600001
食品饮料>粮油调味>米/面/杂粮,1320>1584>s2139,粮油调味>米/面/杂粮>其他,54986001>50100167>50072130
医药保健>保健器械>护理床,9192>9197>14223,保健滋补医药器械>医疗器械>护理床,50106154>56460037>56596009
医药保健>保健器械>护理床,9192>9197>14223,家用器械/按摩器材/可穿戴设备>日常护理>护理床,53314009>53736001>53740002
家用电器>厨卫大电>燃气热水器,737>13297>13691,大家电>热水器>燃气热水器,50900004>50920004>50924006
家用电器>厨卫大电>燃气热水器,737>13297>13691,家装主材>热水器>燃气热水器,27>50030157>50030159
家用电器>厨卫大电>燃气热水器,737>13297>13691,家装主材>热水器>厨宝,27>50030157>50100964
服饰内衣>男装>短裤,1315>1342>12004,天猫国际>男装>短裤,52792006>55872020>56468038
母婴>妈妈专区>宝宝纪念品,1319>4997>s2511,玩具/模型/动漫/早教/益智>宝宝纪念品>胎毛挂坠/挂件,50033500>50024677>50024800
母婴>妈妈专区>宝宝纪念品,1319>4997>s2511,玩具/模型/动漫/早教/益智>宝宝纪念品>纪念册,50033500>50024677>50024798
母婴>妈妈专区>宝宝纪念品,1319>4997>s2511,玩具/模型/动漫/早教/益智>宝宝纪念品>胎毛绣,50033500>50024677>50024801
母婴>妈妈专区>宝宝纪念品,1319>4997>s2511,玩具/模型/动漫/早教/益智>宝宝纪念品>名字贴,50033500>50024677>50035037
母婴>妈妈专区>宝宝纪念品,1319>4997>s2511,玩具/模型/动漫/早教/益智>宝宝纪念品>手脚印,50033500>50024677>50024795
母婴>妈妈专区>宝宝纪念品,1319>4997>s2511,玩具/模型/动漫/早教/益智>宝宝纪念品>胎毛章,50033500>50024677>50024799
母婴>妈妈专区>宝宝纪念品,1319>4997>s2511,玩具/模型/动漫/早教/益智>宝宝纪念品>台历日历挂历,50033500>50024677>50024797
母婴>妈妈专区>宝宝纪念品,1319>4997>s2511,玩具/模型/动漫/早教/益智>宝宝纪念品>胎毛笔,50033500>50024677>50024796
母婴>妈妈专区>宝宝纪念品,1319>4997>s2511,玩具/模型/动漫/早教/益智>宝宝纪念品>手镯/脚镯/长命锁,50033500>50024677>50024794
母婴>妈妈专区>宝宝纪念品,1319>4997>s2511,玩具/童车/益智/积木/模型>宝宝定制/纪念品>胎毛绣,50005998>50000813>50023270
母婴>妈妈专区>宝宝纪念品,1319>4997>s2511,玩具/童车/益智/积木/模型>宝宝定制/纪念品>胎毛章,50005998>50000813>50023268
母婴>妈妈专区>宝宝纪念品,1319>4997>s2511,玩具/童车/益智/积木/模型>宝宝定制/纪念品>手脚印,50005998>50000813>50000814
母婴>妈妈专区>宝宝纪念品,1319>4997>s2511,玩具/童车/益智/积木/模型>宝宝定制/纪念品>手镯/脚镯/长命锁,50005998>50000813>50008349
母婴>妈妈专区>宝宝纪念品,1319>4997>s2511,玩具/童车/益智/积木/模型>宝宝定制/纪念品>胎毛笔,50005998>50000813>50001689
母婴>妈妈专区>宝宝纪念品,1319>4997>s2511,玩具/童车/益智/积木/模型>宝宝定制/纪念品>纪念册,50005998>50000813>50000815
母婴>妈妈专区>宝宝纪念品,1319>4997>s2511,玩具/童车/益智/积木/模型>宝宝定制/纪念品>台历日历挂历,50005998>50000813>50006937
母婴>妈妈专区>宝宝纪念品,1319>4997>s2511,玩具/童车/益智/积木/模型>宝宝定制/纪念品>胎毛挂坠/挂件,50005998>50000813>50023269
数码>影音娱乐,652>828,导航平台>音乐馆>播放设备,50041194>53036003>53240002
服饰内衣>男装>毛呢大衣,1315>1342>9729,天猫国际>男装>毛呢外套/呢大衣,52792006>55872020>55846025
服饰内衣>男装>毛呢大衣,1315>1342>9729,精品男装>设计潮牌馆>毛呢大衣,50025174>50071477>54810001
服饰内衣>男装>毛呢大衣,1315>1342>9729,精品男装>呢大衣>毛领大衣,50025174>50026337>55358007
服饰内衣>男装>毛呢大衣,1315>1342>9729,精品男装>呢大衣>立领大衣,50025174>50026337>55544004
服饰内衣>男装>毛呢大衣,1315>1342>9729,精品男装>呢大衣>其他大衣,50025174>50026337>55524026
服饰内衣>男装>毛呢大衣,1315>1342>9729,精品男装>呢大衣>英伦大衣,50025174>50026337>55374009
服饰内衣>男装>毛呢大衣,1315>1342>9729,导航平台>男士服饰>毛呢大衣,50041194>52478004>52498003
服饰内衣>男装>毛呢大衣,1315>1342>9729,精品男装>商场同款>呢大衣,50025174>53446004>53438002
服饰内衣>男装>毛呢大衣,1315>1342>9729,精品男装>国际馆>呢大衣,50025174>53412001>53410003
服饰内衣>男装>毛呢大衣,1315>1342>9729,精品男装>时尚馆>呢大衣,50025174>53384001>53406003
服饰内衣>男装>毛呢大衣,1315>1342>9729,精品男装>青春馆>呢大衣,50025174>53414001>53388002
服饰内衣>男装>毛呢大衣,1315>1342>9729,精品男装>商务馆>呢大衣,50025174>53306006>53406001
服饰内衣>男装>毛呢大衣,1315>1342>9729,精品男装>中老年服装>呢大衣,50025174>50100128>50478012
医药保健>护理护具>护理液,9192>12190>12600,保健滋补医药器械>隐形眼镜/护理液>护理液,50106154>55856051>55840029
医药保健>护理护具>护理液,9192>12190>12600,保健滋补医药器械>隐形眼镜/护理液>隐形眼镜伴侣,50106154>55856051>55840030
医药保健>护理护具>护理液,9192>12190>12600,ZIPPO/瑞士军刀/眼镜>眼镜配件、护理剂>眼镜护理剂,28>50018752>50018757
医药保健>护理护具>护理液,9192>12190>12600,家用器械/按摩器材/可穿戴设备>个护保健/抗菌消毒>皮肤消毒护理,53314009>53844006>53888004
医药保健>护理护具>护理液,9192>12190>12600,家用器械/按摩器材/可穿戴设备>个护保健/抗菌消毒>女士洗液护理,53314009>53844006>53842005
母婴>童装童鞋>儿童配饰,1319>11842>3977,居家日用/节日用品>儿童居家用品>儿童雨鞋,50036568>56212001>56218001
母婴>童装童鞋>儿童配饰,1319>11842>3977,居家日用/节日用品>儿童居家用品>儿童鞋垫,50036568>56212001>56220002
母婴>童装童鞋>儿童配饰,1319>11842>3977,居家日用/节日用品>儿童居家用品>儿童口罩,50036568>56212001>56222001
厨具>烹饪锅具>锅具套装,6196>6197>6205,厨房/餐饮用具>烹饪锅具>锅组套装,50036640>50026017>50072026
厨具>烹饪锅具>锅具套装,6196>6197>6205,厨房/餐饮用具>烹饪用具>烹饪工具套装,50036640>50074986>50105706
厨具>烹饪锅具>锅具套装,6196>6197>6205,厨房/餐饮用具导航条>锅具行业导购条>国际知名品牌,50632007>50642007>50644006
厨具>烹饪锅具>锅具套装,6196>6197>6205,厨房/餐饮用具导航条>锅具行业导购条>国内知名品牌,50632007>50642007>50654001
厨具>烹饪锅具>锅具套装,6196>6197>6205,厨房/餐饮用具导航条>锅具行业导购条>大众品牌,50632007>50642007>50638008
厨具>烹饪锅具>锅具套装,6196>6197>6205,厨房/餐饮用具导航条>锅组套装导购条>大众品牌,50632007>51346002>51352001
厨具>烹饪锅具>锅具套装,6196>6197>6205,厨房/餐饮用具导航条>锅组套装导购条>国际知名品牌,50632007>51346002>51348001
厨具>烹饪锅具>锅具套装,6196>6197>6205,厨房/餐饮用具导航条>锅组套装导购条>国内知名品牌,50632007>51346002>51350001
医药保健>传统滋补>雪蛤,9192>9195>12614,参茸滋补>参茸名品>雪蛤油/林蛙油,50008825>56830018>50008908
家具>阳台/户外,9847>9853,住宅家具/办公家具>户外、庭院家具>木屋凉亭,50030787>50036024>50036031
家具>阳台/户外,9847>9853,住宅家具/办公家具>户外、庭院家具>桌椅套件,50030787>50036024>50036028
家具>阳台/户外,9847>9853,住宅家具/办公家具>户外、庭院家具>垃圾筒,50030787>50036024>50036032
家具>阳台/户外,9847>9853,住宅家具/办公家具>户外、庭院家具>伞具,50030787>50036024>50036025
家具>阳台/户外,9847>9853,住宅家具/办公家具>户外、庭院家具>庭院凳,50030787>50036024>55532010
家具>阳台/户外,9847>9853,住宅家具/办公家具>户外、庭院家具>桌,50030787>50036024>50036027
厨具>刀剪菜板>刀具套装,6196>6198>6211,厨房/餐饮用具>厨房刀具>全套厨房刀具,50036640>50026308>50027359
厨具>刀剪菜板>刀具套装,6196>6198>6211,厨房/餐饮用具导航条>刀具导航条>大众品牌,50632007>50728003>50730004
厨具>刀剪菜板>刀具套装,6196>6198>6211,厨房/餐饮用具导航条>刀具导航条>国际知名品牌,50632007>50728003>50738001
厨具>刀剪菜板>刀具套装,6196>6198>6211,厨房/餐饮用具导航条>刀具导航条>国内知名品牌,50632007>50728003>50718007
医药保健>营养成分>胶原蛋白,9192>9194>9225,保健滋补医药器械>营养健康>胶原蛋白,50106154>57334300>57334309
医药保健>营养成分>胶原蛋白,9192>9194>9225,天猫国际>蛋白质/氨基酸>胶原蛋白,52792006>55840012>55822012
家用电器>生活电器>插座,737>738>1052,电动车/配件/交通工具>电动车装备>电动车定时器,50316001>53994026>54010035
运动户外>骑行运动>平衡车,1318>12115>12861,电动车/配件/交通工具>自平衡电动车>平衡车,50316001>54434002>53932105
酒类>中外名酒>黑啤,12259>12260>1000249,美酒>各地啤酒>黑啤酒,54982001>50072041>50105170
酒类>中外名酒>桃红葡萄酒,12259>12260>1000234,美酒>葡萄美酒>桃红葡萄酒,54982001>50072114>50105082
家用电器>生活电器>取暖电器,737>738>747,导航平台>数码家电>取暖器,50041194>52512006>52526003
家用电器>生活电器>取暖电器,737>738>747,导航平台>中老年数码家电>取暖器,50041194>51852008>52478014
家具>办公家具>办公柜,9847>9854>12530,商业/办公家具>办公家具>办公柜类,50066661>211503>50073160
家具>办公家具>办公柜,9847>9854>12530,商业/办公家具>办公柜类>其他柜类,50066661>50070559>50070567
家具>办公家具>办公柜,9847>9854>12530,住宅家具/办公家具>柜类>实验柜,50030787>50030789>50034071
家具>办公家具>办公柜,9847>9854>12530,住宅家具/办公家具>柜类>药柜,50030787>50030789>50034072
家用电器>厨卫大电>制冰机,737>13297>13877,大家电>商用厨电>商用制冰机,50035182>50070993>50071016
家具>储物家具>鞋架/衣帽架,9847>9852>9885,住宅家具/办公家具>架/箱类家具>鞋架,50030787>50036112>50030831
家具>储物家具>鞋架/衣帽架,9847>9852>9885,住宅家具/办公家具>架/箱类家具>衣帽架,50030787>50036112>50030830
家具>储物家具>鞋架/衣帽架,9847>9852>9885,收纳整理>衣帽架>壁挂式衣帽架,55098010>55096021>55116018
家具>储物家具>鞋架/衣帽架,9847>9852>9885,收纳整理>衣帽架>落地式衣帽架,55098010>55096021>55050019
家具>储物家具>鞋架/衣帽架,9847>9852>9885,出口优品>收纳/整理用具>衣帽架,55876031>55854036>55842047
家具>储物家具>鞋架/衣帽架,9847>9852>9885,居家日用>包邮专区>挂钩/衣帽挂,21>50046743>50046571
医药保健>营养健康>抗氧化,9192>9193>12164,保健滋补医药器械>预防保健>抗氧化,50106154>57358004>57358023
医药保健>营养健康>抗氧化,9192>9193>12164,保健滋补医药器械>健康需求>抗氧化,50106154>57334310>57334315
医药保健>营养健康>抗氧化,9192>9193>12164,营养保健参茸滋补>女性健康>抗氧化,55854025>56598024>56570037
医药保健>营养健康>抗氧化,9192>9193>12164,营养保健参茸滋补>保健食品>抗氧化,55854025>56594025>56560028
医药保健>营养健康>抗氧化,9192>9193>12164,保健食品/膳食营养补充食品>保健食品>抗氧化,50072043>55168012>55164015
医药保健>营养健康>抗氧化,9192>9193>12164,天猫国际>功能性保健品>抗氧化,52792006>55864009>55806014
医药保健>营养健康>抗氧化,9192>9193>12164,营养保健参茸滋补>女性健康>延缓衰老,55854025>56598024>56590036
家用电器>个护健康>口腔护理,737>1276>741,家用器械/按摩器材/可穿戴设备>个护保健/抗菌消毒>口腔鼻咽护理,53314009>53844006>53920001
运动户外>户外鞋服>越野跑鞋,1318>2628>12137,户外鞋服/装备>越野跑鞋>男子越野跑鞋,50022787>53176001>56180003
运动户外>户外鞋服>越野跑鞋,1318>2628>12137,户外鞋服/装备>越野跑鞋>女子越野跑鞋,50022787>53176001>56182003
运动户外>户外鞋服>越野跑鞋,1318>2628>12137,户外鞋服/装备>鞋靴类>越野跑鞋,50022787>50031407>50045612
运动户外>户外鞋服>越野跑鞋,1318>2628>12137,户外鞋服/装备>越野跑鞋>Decathlon/迪卡侬,50022787>53176001>56188002
家居家纺>家纺>布艺软饰,1620>1621>11962,居家布艺>绣品配件及工具>十字绣工具,50067928>50068096>50068099
家居家纺>家纺>布艺软饰,1620>1621>11962,导航平台>床品/靠垫/毛巾/拖鞋/布艺>微波炉套,50041194>50045025>50049454
家居家纺>家纺>布艺软饰,1620>1621>11962,居家布艺>其他盖巾/防尘罩>洗衣机罩,50067928>50068134>50096274
家居家纺>家纺>布艺软饰,1620>1621>11962,居家布艺/窗帘地毯/缝纫DIY>家电罩>微波炉罩,50065205>50065236>50096161
家居家纺>家纺>布艺软饰,1620>1621>11962,居家布艺>绣品配件及工具>十字绣配件,50067928>50068096>50068098
家居家纺>家纺>布艺软饰,1620>1621>11962,居家布艺/窗帘地毯/缝纫DIY>家电罩>电话套,50065205>50065236>50096162
家居家纺>家纺>布艺软饰,1620>1621>11962,乐器/吉他/钢琴/配件>吉他配件>滑棒/指套,50039094>50039101>50039219
家居家纺>家纺>布艺软饰,1620>1621>11962,居家布艺/窗帘地毯/缝纫DIY>家电罩>遥控器篮,50065205>50065236>50546027
家居家纺>家纺>布艺软饰,1620>1621>11962,居家布艺/窗帘地毯/缝纫DIY>十字绣工具/配件>十字绣配件,50065205>290209>50006740
家居家纺>家纺>布艺软饰,1620>1621>11962,居家布艺/窗帘地毯/缝纫DIY>其他罩/套>钢琴罩,50065205>50074537>50096193
家居家纺>家纺>布艺软饰,1620>1621>11962,居家布艺>其他盖巾/防尘罩>其他盖套,50067928>50068134>50096283
家居家纺>家纺>布艺软饰,1620>1621>11962,导航平台>床品/靠垫/毛巾/拖鞋/布艺>枕头/保健枕,50041194>50045025>50045034
家居家纺>家纺>布艺软饰,1620>1621>11962,居家布艺>其他盖巾/防尘罩>遥控器套,50067928>50068134>50096281
家居家纺>家纺>布艺软饰,1620>1621>11962,居家布艺>其他盖巾/防尘罩>遥控器篮,50067928>50068134>50096277
家居家纺>家纺>布艺软饰,1620>1621>11962,居家布艺>绣品配件及工具>绣线,50067928>50068096>55036003
家居家纺>家纺>布艺软饰,1620>1621>11962,居家布艺/窗帘地毯/缝纫DIY>刺绣DIY套件>湘绣,50065205>50066357>50066361
家居家纺>家纺>布艺软饰,1620>1621>11962,居家布艺/窗帘地毯/缝纫DIY>刺绣DIY套件>蜀绣,50065205>50066357>50066362
家居家纺>家纺>布艺软饰,1620>1621>11962,居家布艺/窗帘地毯/缝纫DIY>十字绣工具/配件>绣线绣布,50065205>290209>50006676
家居家纺>家纺>布艺软饰,1620>1621>11962,居家布艺/窗帘地毯/缝纫DIY>十字绣工具/配件>原版绣图,50065205>290209>50001940
家居家纺>家纺>布艺软饰,1620>1621>11962,居家布艺/窗帘地毯/缝纫DIY>花边/拉链/布贴/DIY配件>丝带/绸带/布带,50065205>2101>50005027
家居家纺>家纺>布艺软饰,1620>1621>11962,导航平台>床品/靠垫/毛巾/拖鞋/布艺>珠子/钻饰/花朵配饰,50041194>50045025>50049470
家居家纺>家纺>布艺软饰,1620>1621>11962,导航平台>床品/靠垫/毛巾/拖鞋/布艺>浴巾,50041194>50045025>50049445
家居家纺>家纺>布艺软饰,1620>1621>11962,导航平台>床品/靠垫/毛巾/拖鞋/布艺>万能盖巾,50041194>50045025>50049455
礼品箱包>奢侈品>高档化妆品,1672>2615>11937,化妆品导购条>防晒导航条>国际高档化妆品,50708001>51154004>51148010
礼品箱包>奢侈品>高档化妆品,1672>2615>11937,化妆品导购条>防晒导航条>国际知名化妆品,50708001>51154004>51152011
礼品箱包>奢侈品>高档化妆品,1672>2615>11937,化妆品导购条>化妆水导购条>国际高端品牌,50708001>51114012>51140015
礼品箱包>奢侈品>高档化妆品,1672>2615>11937,化妆品导购条>化妆水导购条>国际知名品牌,50708001>51114012>51138010
礼品箱包>奢侈品>高档化妆品,1672>2615>11937,化妆品导购条>按摩霜>大众,50708001>51212001>51216001
礼品箱包>奢侈品>高档化妆品,1672>2615>11937,化妆品导购条>彩妆套装导购条>高端,50708001>51230024>51228054
礼品箱包>奢侈品>高档化妆品,1672>2615>11937,化妆品导购条>护肤套装导航条>国际高端品牌,50708001>51116009>51112012
礼品箱包>奢侈品>高档化妆品,1672>2615>11937,化妆品导购条>睫毛膏/睫毛增长液导购条>高端,50708001>51216030>51232037
礼品箱包>奢侈品>高档化妆品,1672>2615>11937,化妆品导购条>修颜/高光/阴影粉导购条>高端,50708001>51218028>51216040
礼品箱包>奢侈品>高档化妆品,1672>2615>11937,化妆品导购条>精华导航条>国际高端品牌,50708001>51126019>51124007
礼品箱包>奢侈品>高档化妆品,1672>2615>11937,化妆品导购条>卸妆导购条>高端,50708001>51218007>51216006
礼品箱包>奢侈品>高档化妆品,1672>2615>11937,化妆品导购条>唇彩/唇蜜导购条>高端,50708001>51224038>51218031
礼品箱包>奢侈品>高档化妆品,1672>2615>11937,化妆品导购条>精华导航条>国际知名品牌,50708001>51126019>51124008
礼品箱包>奢侈品>高档化妆品,1672>2615>11937,化妆品导购条>遮瑕笔/膏导购条>高端,50708001>51218027>51228051
礼品箱包>奢侈品>高档化妆品,1672>2615>11937,化妆品导购条>眼线笔/液导购条>高端,50708001>51212023>51224051
礼品箱包>奢侈品>高档化妆品,1672>2615>11937,化妆品导购条>洁面导航条>国际知名品牌,50708001>51152009>51148013
礼品箱包>奢侈品>高档化妆品,1672>2615>11937,化妆品导购条>面膜导购条>高端,50708001>51232004>51222004
礼品箱包>奢侈品>高档化妆品,1672>2615>11937,化妆品导购条>腮红/胭脂导购条>高端,50708001>51226018>51220023
礼品箱包>奢侈品>高档化妆品,1672>2615>11937,化妆品导购条>眉笔/眉粉/眉膏导购条>高端,50708001>51224039>51212033
礼品箱包>奢侈品>高档化妆品,1672>2615>11937,化妆品导购条>乳液导航条>精品国货,50708001>51126018>51124006
礼品箱包>奢侈品>高档化妆品,1672>2615>11937,化妆品导购条>粉底液/膏/粉条导购条>高端,50708001>51230023>51218030
礼品箱包>奢侈品>高档化妆品,1672>2615>11937,化妆品导购条>手部保养导航条>高端,50708001>51212006>51230006
礼品箱包>奢侈品>高档化妆品,1672>2615>11937,化妆品导购条>隔离/妆前/打底导购条>高端,50708001>51234027>51236018
礼品箱包>奢侈品>高档化妆品,1672>2615>11937,化妆品导购条>眼影导购条>高端,50708001>51220021>51226027
礼品箱包>奢侈品>高档化妆品,1672>2615>11937,化妆品导购条>粉饼导购条>高端,50708001>51226019>51214026
礼品箱包>奢侈品>高档化妆品,1672>2615>11937,化妆品导购条>乳液导航条>国际高端品牌,50708001>51126018>51140018
礼品箱包>奢侈品>高档化妆品,1672>2615>11937,化妆品导购条>面部磨砂/去角质导航条>高端,50708001>51234002>51210004
礼品箱包>奢侈品>高档化妆品,1672>2615>11937,化妆品导购条>唇笔/唇线笔导购条>高端,50708001>51218029>51216041
